"","BlackGeneNames"
"302","TRINITY_DN9898_c0_g1"
"303","TRINITY_DN9463_c0_g1"
"304","TRINITY_DN24862_c0_g1"
"305","TRINITY_DN6280_c0_g1"
"306","TRINITY_DN13357_c0_g1"
"307","TRINITY_DN10065_c0_g1"
"308","TRINITY_DN22333_c0_g1"
"309","TRINITY_DN270_c1_g1"
"310","TRINITY_DN10500_c0_g1"
"311","TRINITY_DN9714_c0_g1"
"312","TRINITY_DN34312_c0_g1"
"313","TRINITY_DN27746_c0_g1"
"314","TRINITY_DN40239_c0_g1"
"315","TRINITY_DN3151_c0_g1"
"316","TRINITY_DN17592_c0_g1"
"317","TRINITY_DN4096_c0_g1"
"318","TRINITY_DN41570_c0_g1"
"319","TRINITY_DN54333_c0_g1"
"320","TRINITY_DN6155_c0_g1"
"321","TRINITY_DN31025_c0_g1"
"322","TRINITY_DN29387_c0_g2"
"323","TRINITY_DN19667_c0_g1"
"324","TRINITY_DN1140_c1_g1"
"325","TRINITY_DN13673_c0_g1"
"326","TRINITY_DN40293_c0_g1"
"327","TRINITY_DN3638_c1_g1"
"328","TRINITY_DN2368_c0_g1"
"329","TRINITY_DN3670_c0_g1"
"330","TRINITY_DN3252_c0_g2"
"331","TRINITY_DN34467_c0_g1"
"332","TRINITY_DN54252_c0_g1"
"333","TRINITY_DN19077_c0_g1"
"334","TRINITY_DN18246_c0_g1"
"335","TRINITY_DN22937_c0_g1"
"336","TRINITY_DN433_c0_g1"
"337","TRINITY_DN5245_c0_g1"
"338","TRINITY_DN48499_c0_g1"
"339","TRINITY_DN106641_c0_g1"
"340","TRINITY_DN24170_c0_g1"
"341","TRINITY_DN1334_c0_g1"
"342","TRINITY_DN13728_c1_g1"
"343","TRINITY_DN32674_c0_g1"
"344","TRINITY_DN11937_c0_g1"
"345","TRINITY_DN9130_c0_g1"
"346","TRINITY_DN3111_c0_g1"
"347","TRINITY_DN16629_c0_g1"
"348","TRINITY_DN5107_c0_g1"
"349","TRINITY_DN39141_c1_g1"
"350","TRINITY_DN19763_c0_g1"
"351","TRINITY_DN35069_c0_g1"
"352","TRINITY_DN3010_c0_g1"
"353","TRINITY_DN19008_c0_g1"
"354","TRINITY_DN22264_c0_g1"
"355","TRINITY_DN37572_c0_g1"
"356","TRINITY_DN23997_c0_g1"
"357","TRINITY_DN61518_c0_g1"
"358","TRINITY_DN599_c0_g1"
"359","TRINITY_DN18877_c0_g2"
"360","TRINITY_DN1485_c0_g1"
"361","TRINITY_DN43783_c0_g1"
"362","TRINITY_DN45640_c0_g1"
"363","TRINITY_DN26335_c0_g1"
"364","TRINITY_DN7199_c0_g1"
"365","TRINITY_DN38560_c0_g1"
"366","TRINITY_DN4318_c0_g1"
"367","TRINITY_DN705_c0_g1"
"368","TRINITY_DN1813_c4_g1"
"369","TRINITY_DN8852_c0_g1"
"370","TRINITY_DN918_c0_g1"
"371","TRINITY_DN12376_c0_g1"
"372","TRINITY_DN63558_c0_g1"
"373","TRINITY_DN6692_c0_g1"
"374","TRINITY_DN2356_c0_g1"
"375","TRINITY_DN611_c0_g1"
"376","TRINITY_DN36384_c0_g1"
"377","TRINITY_DN18841_c0_g1"
"378","TRINITY_DN33190_c0_g1"
"379","TRINITY_DN14507_c0_g1"
"380","TRINITY_DN1151_c0_g1"
"381","TRINITY_DN3372_c0_g1"
"382","TRINITY_DN11500_c0_g1"
"383","TRINITY_DN43386_c0_g1"
"384","TRINITY_DN7578_c0_g1"
"385","TRINITY_DN50451_c0_g1"
"386","TRINITY_DN7167_c0_g1"
"387","TRINITY_DN3299_c0_g1"
"388","TRINITY_DN14439_c0_g1"
"389","TRINITY_DN1049_c0_g1"
"390","TRINITY_DN1915_c0_g1"
"391","TRINITY_DN33176_c0_g1"
"392","TRINITY_DN25061_c0_g1"
"393","TRINITY_DN36660_c0_g1"
"394","TRINITY_DN31200_c0_g1"
"395","TRINITY_DN2212_c0_g1"
"396","TRINITY_DN37588_c0_g1"
