"","BlueGeneNames"
"205","TRINITY_DN2778_c0_g1"
"206","TRINITY_DN15144_c0_g1"
"207","TRINITY_DN15426_c1_g1"
"208","TRINITY_DN1697_c0_g1"
"209","TRINITY_DN4887_c0_g1"
"210","TRINITY_DN12113_c0_g1"
"211","TRINITY_DN399_c0_g1"
"212","TRINITY_DN6771_c0_g1"
"213","TRINITY_DN2063_c0_g1"
"214","TRINITY_DN39541_c0_g1"
"215","TRINITY_DN13694_c0_g1"
"216","TRINITY_DN12223_c0_g1"
"217","TRINITY_DN7801_c1_g1"
"218","TRINITY_DN1526_c0_g1"
"219","TRINITY_DN10374_c0_g1"
"220","TRINITY_DN9651_c0_g1"
"221","TRINITY_DN2616_c1_g2"
"222","TRINITY_DN1384_c0_g1"
"223","TRINITY_DN13085_c0_g1"
"224","TRINITY_DN6565_c1_g1"
"225","TRINITY_DN821_c0_g1"
"226","TRINITY_DN1376_c0_g1"
"227","TRINITY_DN2590_c0_g1"
"228","TRINITY_DN7351_c0_g1"
"229","TRINITY_DN26463_c0_g1"
"230","TRINITY_DN2055_c0_g1"
"231","TRINITY_DN9456_c0_g1"
"232","TRINITY_DN5408_c0_g1"
"233","TRINITY_DN7198_c0_g1"
"234","TRINITY_DN9137_c0_g1"
"235","TRINITY_DN9653_c0_g1"
"236","TRINITY_DN18144_c0_g1"
"237","TRINITY_DN40737_c0_g1"
"238","TRINITY_DN5097_c0_g1"
"239","TRINITY_DN968_c0_g1"
"240","TRINITY_DN10695_c0_g1"
"241","TRINITY_DN14430_c0_g1"
"242","TRINITY_DN270_c0_g1"
"243","TRINITY_DN21707_c1_g1"
"244","TRINITY_DN14667_c0_g1"
"245","TRINITY_DN7320_c0_g1"
"246","TRINITY_DN11952_c0_g1"
"247","TRINITY_DN3903_c0_g1"
"248","TRINITY_DN9880_c0_g1"
"249","TRINITY_DN449_c0_g1"
"250","TRINITY_DN20406_c0_g2"
"251","TRINITY_DN1932_c0_g1"
"252","TRINITY_DN9176_c1_g1"
"253","TRINITY_DN1576_c0_g1"
"254","TRINITY_DN2432_c0_g1"
"255","TRINITY_DN12895_c0_g1"
"256","TRINITY_DN3602_c0_g1"
"257","TRINITY_DN3518_c0_g1"
"258","TRINITY_DN15343_c0_g1"
"259","TRINITY_DN1846_c0_g1"
"260","TRINITY_DN13814_c0_g1"
"261","TRINITY_DN8566_c0_g1"
"262","TRINITY_DN1868_c7_g1"
"263","TRINITY_DN846_c0_g1"
"264","TRINITY_DN2066_c0_g1"
"265","TRINITY_DN1212_c0_g2"
"266","TRINITY_DN2860_c0_g1"
"267","TRINITY_DN13216_c0_g1"
"268","TRINITY_DN13217_c0_g1"
"269","TRINITY_DN12586_c0_g1"
"270","TRINITY_DN2950_c0_g1"
"271","TRINITY_DN25316_c0_g1"
"272","TRINITY_DN19009_c0_g1"
"273","TRINITY_DN86693_c0_g1"
"274","TRINITY_DN11053_c0_g1"
"275","TRINITY_DN8585_c0_g1"
"276","TRINITY_DN21476_c0_g1"
"277","TRINITY_DN11498_c0_g1"
"278","TRINITY_DN72140_c0_g1"
"279","TRINITY_DN20533_c0_g1"
"280","TRINITY_DN507_c0_g1"
"281","TRINITY_DN1268_c0_g1"
"282","TRINITY_DN7680_c1_g1"
"283","TRINITY_DN4676_c0_g1"
"284","TRINITY_DN3035_c0_g1"
"285","TRINITY_DN3932_c0_g1"
"286","TRINITY_DN2980_c0_g1"
"287","TRINITY_DN21818_c0_g1"
"288","TRINITY_DN10204_c0_g2"
"289","TRINITY_DN3032_c0_g1"
"290","TRINITY_DN327_c0_g1"
"291","TRINITY_DN2996_c0_g1"
"292","TRINITY_DN2920_c0_g1"
"293","TRINITY_DN2541_c0_g1"
"294","TRINITY_DN1800_c1_g1"
"295","TRINITY_DN9848_c0_g1"
"296","TRINITY_DN338_c1_g1"
"297","TRINITY_DN1095_c0_g1"
"298","TRINITY_DN2649_c0_g1"
"299","TRINITY_DN18633_c0_g1"
"300","TRINITY_DN43831_c0_g1"
"301","TRINITY_DN4612_c0_g1"
"302","TRINITY_DN33263_c0_g1"
"303","TRINITY_DN16581_c0_g1"
"304","TRINITY_DN8830_c0_g1"
"305","TRINITY_DN20236_c0_g1"
"306","TRINITY_DN4825_c0_g1"
"307","TRINITY_DN3200_c0_g1"
"308","TRINITY_DN2465_c0_g1"
"309","TRINITY_DN2484_c0_g1"
"310","TRINITY_DN35663_c0_g1"
"311","TRINITY_DN3038_c0_g1"
"312","TRINITY_DN1686_c0_g1"
"313","TRINITY_DN17857_c1_g1"
"314","TRINITY_DN5808_c0_g1"
"315","TRINITY_DN26080_c0_g1"
"316","TRINITY_DN24185_c0_g1"
"317","TRINITY_DN749_c2_g1"
"318","TRINITY_DN4167_c0_g1"
"319","TRINITY_DN20030_c0_g1"
"320","TRINITY_DN4643_c0_g1"
"321","TRINITY_DN6820_c0_g1"
"322","TRINITY_DN8931_c0_g1"
"323","TRINITY_DN4640_c0_g1"
"324","TRINITY_DN413_c1_g1"
"325","TRINITY_DN2148_c0_g1"
"326","TRINITY_DN3279_c0_g1"
"327","TRINITY_DN2305_c0_g2"
"328","TRINITY_DN2655_c0_g1"
"329","TRINITY_DN1857_c0_g1"
"330","TRINITY_DN106928_c0_g1"
"331","TRINITY_DN16468_c0_g1"
"332","TRINITY_DN20252_c0_g1"
"333","TRINITY_DN17752_c0_g1"
"334","TRINITY_DN2445_c0_g1"
"335","TRINITY_DN3889_c0_g1"
"336","TRINITY_DN5572_c1_g1"
"337","TRINITY_DN1203_c0_g1"
"338","TRINITY_DN25896_c0_g1"
"339","TRINITY_DN1789_c0_g2"
"340","TRINITY_DN830_c0_g1"
"341","TRINITY_DN725_c0_g1"
"342","TRINITY_DN18529_c0_g1"
"343","TRINITY_DN9017_c0_g1"
"344","TRINITY_DN11782_c0_g1"
"345","TRINITY_DN111_c0_g1"
"346","TRINITY_DN3214_c0_g1"
"347","TRINITY_DN7231_c0_g1"
"348","TRINITY_DN3781_c0_g1"
"349","TRINITY_DN43377_c0_g1"
"350","TRINITY_DN823_c0_g1"
"351","TRINITY_DN5662_c3_g1"
"352","TRINITY_DN16050_c0_g1"
"353","TRINITY_DN7150_c0_g1"
"354","TRINITY_DN22678_c0_g1"
"355","TRINITY_DN2457_c0_g1"
"356","TRINITY_DN3923_c0_g1"
"357","TRINITY_DN2943_c0_g1"
"358","TRINITY_DN26441_c1_g1"
"359","TRINITY_DN19488_c0_g1"
"360","TRINITY_DN5945_c0_g1"
"361","TRINITY_DN12276_c0_g1"
"362","TRINITY_DN20701_c0_g1"
"363","TRINITY_DN8448_c0_g1"
"364","TRINITY_DN5907_c0_g1"
"365","TRINITY_DN4781_c0_g1"
"366","TRINITY_DN5867_c0_g1"
"367","TRINITY_DN654_c0_g2"
"368","TRINITY_DN2336_c0_g2"
"369","TRINITY_DN12264_c0_g1"
"370","TRINITY_DN2764_c0_g1"
"371","TRINITY_DN26127_c0_g1"
"372","TRINITY_DN3314_c0_g1"
"373","TRINITY_DN1392_c0_g1"
"374","TRINITY_DN1428_c0_g1"
"375","TRINITY_DN102090_c0_g1"
