"","BlueGeneNames"
"1319","TRINITY_DN11480_c0_g2"
"1320","TRINITY_DN18919_c0_g1"
"1321","TRINITY_DN31833_c0_g1"
"1322","TRINITY_DN13188_c0_g1"
"1323","TRINITY_DN44101_c0_g1"
"1324","TRINITY_DN969_c0_g1"
"1325","TRINITY_DN25780_c0_g1"
"1326","TRINITY_DN12161_c0_g1"
"1327","TRINITY_DN21629_c0_g1"
"1328","TRINITY_DN3341_c0_g1"
"1329","TRINITY_DN2906_c0_g1"
"1330","TRINITY_DN11290_c0_g1"
"1331","TRINITY_DN2768_c0_g1"
"1332","TRINITY_DN1562_c0_g2"
"1333","TRINITY_DN8873_c0_g1"
"1334","TRINITY_DN82147_c0_g2"
"1335","TRINITY_DN25816_c0_g1"
"1336","TRINITY_DN26306_c0_g1"
"1337","TRINITY_DN9919_c0_g1"
"1338","TRINITY_DN35767_c0_g1"
"1339","TRINITY_DN2873_c2_g1"
"1340","TRINITY_DN12643_c0_g1"
"1341","TRINITY_DN48836_c0_g1"
"1342","TRINITY_DN2204_c0_g1"
"1343","TRINITY_DN42480_c0_g1"
"1344","TRINITY_DN2713_c1_g1"
"1345","TRINITY_DN2096_c0_g1"
"1346","TRINITY_DN7299_c0_g1"
"1347","TRINITY_DN15358_c0_g1"
"1348","TRINITY_DN2586_c0_g3"
"1349","TRINITY_DN11228_c0_g1"
"1350","TRINITY_DN16894_c0_g1"
"1351","TRINITY_DN7994_c0_g1"
"1352","TRINITY_DN1325_c0_g1"
"1353","TRINITY_DN35711_c0_g1"
"1354","TRINITY_DN13870_c0_g2"
"1355","TRINITY_DN771_c0_g1"
"1356","TRINITY_DN17382_c0_g1"
"1357","TRINITY_DN23868_c0_g1"
"1358","TRINITY_DN4135_c0_g1"
"1359","TRINITY_DN2048_c0_g1"
"1360","TRINITY_DN8605_c0_g1"
"1361","TRINITY_DN32899_c0_g1"
"1362","TRINITY_DN7875_c0_g1"
"1363","TRINITY_DN2839_c0_g1"
"1364","TRINITY_DN2110_c0_g1"
"1365","TRINITY_DN24838_c1_g1"
"1366","TRINITY_DN3850_c0_g1"
"1367","TRINITY_DN11317_c0_g1"
"1368","TRINITY_DN18480_c0_g1"
"1369","TRINITY_DN24108_c0_g1"
"1370","TRINITY_DN6604_c0_g1"
"1371","TRINITY_DN13356_c0_g1"
"1372","TRINITY_DN73146_c0_g1"
"1373","TRINITY_DN27685_c0_g2"
"1374","TRINITY_DN22544_c0_g2"
"1375","TRINITY_DN13074_c0_g1"
"1376","TRINITY_DN4348_c0_g1"
"1377","TRINITY_DN13597_c0_g1"
"1378","TRINITY_DN3562_c2_g1"
"1379","TRINITY_DN8038_c0_g1"
"1380","TRINITY_DN7922_c1_g1"
"1381","TRINITY_DN7353_c0_g1"
"1382","TRINITY_DN26209_c0_g1"
"1383","TRINITY_DN5407_c0_g1"
"1384","TRINITY_DN1340_c0_g1"
"1385","TRINITY_DN14803_c0_g1"
"1386","TRINITY_DN29834_c0_g1"
"1387","TRINITY_DN8102_c0_g3"
"1388","TRINITY_DN4543_c0_g1"
"1389","TRINITY_DN28832_c0_g1"
"1390","TRINITY_DN1362_c2_g1"
"1391","TRINITY_DN36165_c0_g1"
"1392","TRINITY_DN22724_c0_g1"
"1393","TRINITY_DN14778_c0_g1"
"1394","TRINITY_DN39483_c0_g1"
"1395","TRINITY_DN1899_c0_g1"
"1396","TRINITY_DN10139_c0_g1"
"1397","TRINITY_DN62786_c0_g1"
"1398","TRINITY_DN855_c0_g1"
"1399","TRINITY_DN9365_c1_g1"
"1400","TRINITY_DN19367_c0_g1"
"1401","TRINITY_DN25992_c0_g1"
"1402","TRINITY_DN10433_c0_g1"
"1403","TRINITY_DN815_c0_g1"
"1404","TRINITY_DN18092_c0_g1"
"1405","TRINITY_DN15602_c0_g1"
"1406","TRINITY_DN30944_c0_g1"
"1407","TRINITY_DN76073_c0_g1"
"1408","TRINITY_DN7166_c0_g1"
"1409","TRINITY_DN31978_c0_g1"
"1410","TRINITY_DN25792_c0_g1"
"1411","TRINITY_DN21305_c0_g1"
"1412","TRINITY_DN33477_c0_g1"
"1413","TRINITY_DN39863_c0_g1"
"1414","TRINITY_DN23589_c0_g1"
"1415","TRINITY_DN16425_c0_g1"
"1416","TRINITY_DN20093_c1_g1"
"1417","TRINITY_DN54140_c0_g1"
"1418","TRINITY_DN1707_c0_g1"
"1419","TRINITY_DN17026_c0_g1"
"1420","TRINITY_DN56476_c0_g1"
"1421","TRINITY_DN1351_c0_g1"
"1422","TRINITY_DN31948_c0_g1"
"1423","TRINITY_DN7224_c0_g2"
"1424","TRINITY_DN8927_c0_g1"
"1425","TRINITY_DN43661_c0_g1"
"1426","TRINITY_DN20574_c0_g1"
"1427","TRINITY_DN62852_c0_g1"
"1428","TRINITY_DN22857_c0_g1"
"1429","TRINITY_DN27659_c0_g1"
"1430","TRINITY_DN5322_c0_g1"
"1431","TRINITY_DN34701_c0_g1"
"1432","TRINITY_DN49068_c0_g1"
"1433","TRINITY_DN3697_c1_g1"
"1434","TRINITY_DN40634_c0_g1"
"1435","TRINITY_DN3539_c0_g1"
"1436","TRINITY_DN13384_c0_g1"
"1437","TRINITY_DN51705_c0_g1"
"1438","TRINITY_DN3654_c0_g1"
"1439","TRINITY_DN16584_c1_g1"
"1440","TRINITY_DN42166_c0_g1"
"1441","TRINITY_DN52308_c0_g1"
"1442","TRINITY_DN1928_c0_g1"
"1443","TRINITY_DN10459_c0_g1"
"1444","TRINITY_DN4222_c0_g1"
"1445","TRINITY_DN52706_c0_g1"
"1446","TRINITY_DN28180_c0_g1"
"1447","TRINITY_DN356_c1_g1"
"1448","TRINITY_DN21980_c0_g2"
"1449","TRINITY_DN34192_c0_g1"
"1450","TRINITY_DN10317_c2_g1"
"1451","TRINITY_DN7308_c0_g1"
"1452","TRINITY_DN5510_c0_g1"
"1453","TRINITY_DN43125_c0_g1"
"1454","TRINITY_DN22351_c0_g1"
"1455","TRINITY_DN90590_c0_g1"
"1456","TRINITY_DN34624_c0_g1"
"1457","TRINITY_DN42110_c0_g1"
"1458","TRINITY_DN6323_c0_g1"
"1459","TRINITY_DN2607_c0_g2"
"1460","TRINITY_DN108734_c0_g1"
"1461","TRINITY_DN21917_c0_g1"
"1462","TRINITY_DN18192_c0_g1"
"1463","TRINITY_DN3143_c0_g1"
"1464","TRINITY_DN10344_c0_g1"
"1465","TRINITY_DN6909_c1_g1"
"1466","TRINITY_DN3956_c0_g1"
"1467","TRINITY_DN939_c0_g1"
"1468","TRINITY_DN56345_c0_g1"
"1469","TRINITY_DN37016_c0_g1"
"1470","TRINITY_DN30772_c0_g1"
"1471","TRINITY_DN18525_c0_g1"
"1472","TRINITY_DN8622_c0_g1"
"1473","TRINITY_DN12153_c0_g1"
"1474","TRINITY_DN22786_c0_g1"
"1475","TRINITY_DN34645_c0_g1"
"1476","TRINITY_DN4929_c0_g1"
"1477","TRINITY_DN32396_c0_g1"
"1478","TRINITY_DN4787_c0_g1"
"1479","TRINITY_DN1618_c0_g1"
"1480","TRINITY_DN1469_c0_g1"
"1481","TRINITY_DN42972_c0_g1"
"1482","TRINITY_DN2169_c1_g2"
"1483","TRINITY_DN78844_c0_g1"
"1484","TRINITY_DN16887_c0_g1"
"1485","TRINITY_DN48591_c0_g1"
"1486","TRINITY_DN39905_c0_g1"
"1487","TRINITY_DN5947_c0_g1"
"1488","TRINITY_DN26792_c0_g1"
"1489","TRINITY_DN39416_c0_g1"
"1490","TRINITY_DN18586_c0_g1"
"1491","TRINITY_DN1560_c0_g1"
"1492","TRINITY_DN55_c5_g1"
"1493","TRINITY_DN7700_c0_g1"
"1494","TRINITY_DN41193_c0_g1"
"1495","TRINITY_DN24622_c0_g1"
"1496","TRINITY_DN42618_c0_g1"
"1497","TRINITY_DN35699_c0_g1"
"1498","TRINITY_DN6160_c0_g1"
"1499","TRINITY_DN52172_c0_g1"
"1500","TRINITY_DN10992_c0_g1"
"1501","TRINITY_DN27345_c0_g1"
"1502","TRINITY_DN8674_c0_g1"
"1503","TRINITY_DN16358_c1_g1"
"1504","TRINITY_DN36459_c0_g1"
"1505","TRINITY_DN13508_c0_g1"
"1506","TRINITY_DN25067_c0_g1"
"1507","TRINITY_DN831_c0_g1"
"1508","TRINITY_DN97_c1_g1"
"1509","TRINITY_DN14705_c0_g1"
"1510","TRINITY_DN1054_c0_g1"
"1511","TRINITY_DN48451_c0_g1"
"1512","TRINITY_DN5293_c0_g1"
"1513","TRINITY_DN74786_c0_g1"
"1514","TRINITY_DN29497_c0_g1"
"1515","TRINITY_DN34587_c0_g1"
"1516","TRINITY_DN27496_c0_g1"
"1517","TRINITY_DN15613_c0_g1"
"1518","TRINITY_DN47693_c0_g1"
"1519","TRINITY_DN9127_c0_g1"
"1520","TRINITY_DN494_c0_g1"
"1521","TRINITY_DN37045_c0_g1"
"1522","TRINITY_DN13951_c0_g2"
"1523","TRINITY_DN39413_c0_g1"
"1524","TRINITY_DN2982_c0_g1"
"1525","TRINITY_DN30737_c0_g1"
"1526","TRINITY_DN21636_c0_g1"
"1527","TRINITY_DN11527_c0_g1"
"1528","TRINITY_DN31955_c1_g1"
"1529","TRINITY_DN19430_c0_g1"
"1530","TRINITY_DN12464_c0_g1"
"1531","TRINITY_DN5306_c0_g1"
"1532","TRINITY_DN55362_c0_g1"
"1533","TRINITY_DN32999_c0_g1"
"1534","TRINITY_DN25834_c0_g1"
"1535","TRINITY_DN524_c0_g1"
"1536","TRINITY_DN36277_c0_g1"
"1537","TRINITY_DN6412_c1_g1"
"1538","TRINITY_DN49713_c1_g1"
"1539","TRINITY_DN1467_c2_g1"
"1540","TRINITY_DN28579_c0_g1"
"1541","TRINITY_DN56233_c0_g1"
"1542","TRINITY_DN12764_c0_g2"
"1543","TRINITY_DN46856_c0_g1"
"1544","TRINITY_DN10606_c0_g1"
"1545","TRINITY_DN6645_c0_g1"
"1546","TRINITY_DN3522_c0_g1"
"1547","TRINITY_DN8184_c1_g1"
"1548","TRINITY_DN35482_c0_g1"
"1549","TRINITY_DN76664_c0_g1"
"1550","TRINITY_DN6261_c0_g1"
"1551","TRINITY_DN18160_c0_g1"
"1552","TRINITY_DN14244_c3_g1"
"1553","TRINITY_DN21717_c0_g1"
"1554","TRINITY_DN249_c0_g1"
"1555","TRINITY_DN18714_c0_g1"
"1556","TRINITY_DN28234_c1_g1"
"1557","TRINITY_DN4521_c0_g1"
