"","greenGeneNames"
"281","TRINITY_DN24850_c0_g1"
"282","TRINITY_DN39437_c0_g1"
"283","TRINITY_DN43412_c0_g1"
"284","TRINITY_DN2198_c0_g1"
"285","TRINITY_DN48676_c0_g1"
"286","TRINITY_DN26505_c0_g1"
"287","TRINITY_DN46686_c0_g1"
"288","TRINITY_DN34068_c0_g1"
"289","TRINITY_DN53421_c0_g1"
"290","TRINITY_DN43098_c0_g1"
"291","TRINITY_DN26876_c0_g1"
"292","TRINITY_DN54588_c0_g1"
"293","TRINITY_DN49988_c0_g1"
"294","TRINITY_DN43184_c0_g1"
"295","TRINITY_DN50591_c0_g1"
"296","TRINITY_DN35442_c0_g1"
"297","TRINITY_DN15486_c0_g1"
"298","TRINITY_DN48833_c0_g1"
"299","TRINITY_DN36166_c0_g1"
"300","TRINITY_DN32583_c0_g1"
"301","TRINITY_DN29566_c0_g1"
"302","TRINITY_DN49765_c0_g1"
"303","TRINITY_DN35930_c0_g1"
"304","TRINITY_DN37639_c0_g1"
"305","TRINITY_DN51347_c1_g1"
"306","TRINITY_DN55885_c0_g1"
"307","TRINITY_DN51570_c0_g1"
"308","TRINITY_DN25974_c0_g1"
"309","TRINITY_DN24300_c0_g1"
"310","TRINITY_DN29976_c0_g1"
"311","TRINITY_DN9950_c0_g1"
"312","TRINITY_DN8967_c0_g1"
"313","TRINITY_DN33074_c0_g1"
"314","TRINITY_DN9496_c0_g1"
"315","TRINITY_DN4886_c0_g1"
"316","TRINITY_DN27686_c0_g1"
"317","TRINITY_DN49954_c0_g1"
"318","TRINITY_DN43701_c0_g1"
"319","TRINITY_DN904_c0_g1"
"320","TRINITY_DN38280_c0_g1"
"321","TRINITY_DN41708_c0_g1"
"322","TRINITY_DN49216_c0_g1"
"323","TRINITY_DN44884_c0_g1"
"324","TRINITY_DN2808_c0_g1"
"325","TRINITY_DN39300_c0_g1"
"326","TRINITY_DN22611_c0_g1"
"327","TRINITY_DN2007_c0_g1"
"328","TRINITY_DN59205_c0_g1"
"329","TRINITY_DN11770_c0_g1"
"330","TRINITY_DN27457_c0_g1"
"331","TRINITY_DN26765_c0_g1"
"332","TRINITY_DN50570_c0_g1"
"333","TRINITY_DN41474_c0_g1"
"334","TRINITY_DN33063_c0_g1"
"335","TRINITY_DN39129_c0_g1"
"336","TRINITY_DN34471_c0_g1"
"337","TRINITY_DN32028_c0_g2"
"338","TRINITY_DN85408_c0_g1"
"339","TRINITY_DN802_c0_g1"
"340","TRINITY_DN11166_c0_g1"
"341","TRINITY_DN23476_c0_g1"
"342","TRINITY_DN41626_c0_g1"
"343","TRINITY_DN52045_c0_g1"
"344","TRINITY_DN7388_c0_g1"
"345","TRINITY_DN97508_c0_g1"
"346","TRINITY_DN51774_c0_g1"
"347","TRINITY_DN47059_c0_g1"
"348","TRINITY_DN68499_c0_g1"
"349","TRINITY_DN62520_c0_g1"
"350","TRINITY_DN71566_c0_g1"
"351","TRINITY_DN8658_c0_g1"
"352","TRINITY_DN99543_c0_g1"
"353","TRINITY_DN43468_c0_g1"
"354","TRINITY_DN45001_c0_g1"
"355","TRINITY_DN20316_c0_g2"
"356","TRINITY_DN53465_c0_g1"
"357","TRINITY_DN33767_c0_g1"
"358","TRINITY_DN35940_c0_g1"
"359","TRINITY_DN46620_c0_g1"
"360","TRINITY_DN38091_c0_g1"
"361","TRINITY_DN45596_c0_g1"
"362","TRINITY_DN11357_c1_g1"
"363","TRINITY_DN31609_c0_g1"
"364","TRINITY_DN42535_c0_g1"
"365","TRINITY_DN22404_c0_g1"
"366","TRINITY_DN38758_c0_g1"
"367","TRINITY_DN43995_c0_g1"
"368","TRINITY_DN49747_c0_g1"
"369","TRINITY_DN2444_c0_g1"
"370","TRINITY_DN17671_c0_g1"
"371","TRINITY_DN81384_c0_g1"
"372","TRINITY_DN4696_c0_g1"
"373","TRINITY_DN54001_c0_g1"
"374","TRINITY_DN53996_c0_g1"
"375","TRINITY_DN97302_c0_g1"
"376","TRINITY_DN39534_c0_g1"
"377","TRINITY_DN21650_c0_g1"
"378","TRINITY_DN22103_c0_g1"
"379","TRINITY_DN1571_c0_g1"
"380","TRINITY_DN29258_c0_g1"
"381","TRINITY_DN6861_c0_g1"
"382","TRINITY_DN49207_c0_g1"
"383","TRINITY_DN44090_c0_g1"
"384","TRINITY_DN51703_c0_g1"
"385","TRINITY_DN35827_c0_g1"
"386","TRINITY_DN35979_c0_g1"
"387","TRINITY_DN104527_c0_g1"
"388","TRINITY_DN70507_c0_g1"
"389","TRINITY_DN40248_c0_g1"
"390","TRINITY_DN64916_c0_g1"
"391","TRINITY_DN9077_c0_g1"
"392","TRINITY_DN2291_c0_g1"
"393","TRINITY_DN54066_c0_g2"
"394","TRINITY_DN38797_c0_g1"
"395","TRINITY_DN47567_c0_g1"
"396","TRINITY_DN38565_c0_g1"
"397","TRINITY_DN22939_c0_g1"
"398","TRINITY_DN32428_c0_g1"
"399","TRINITY_DN52829_c0_g1"
