"","turqGeneNames"
"284","TRINITY_DN3091_c1_g1"
"285","TRINITY_DN8107_c0_g1"
"286","TRINITY_DN607_c0_g1"
"287","TRINITY_DN4571_c0_g1"
"288","TRINITY_DN30756_c0_g1"
"289","TRINITY_DN1246_c0_g1"
"290","TRINITY_DN5831_c0_g1"
"291","TRINITY_DN603_c0_g1"
"292","TRINITY_DN2525_c0_g1"
"293","TRINITY_DN5424_c0_g1"
"294","TRINITY_DN61817_c0_g1"
"295","TRINITY_DN2710_c0_g1"
"296","TRINITY_DN10277_c0_g1"
"297","TRINITY_DN3590_c1_g1"
"298","TRINITY_DN796_c0_g1"
"299","TRINITY_DN5645_c0_g1"
"300","TRINITY_DN33373_c0_g1"
"301","TRINITY_DN1947_c0_g1"
"302","TRINITY_DN2242_c0_g1"
"303","TRINITY_DN9401_c0_g1"
"304","TRINITY_DN14504_c0_g1"
"305","TRINITY_DN1865_c0_g1"
"306","TRINITY_DN499_c0_g1"
"307","TRINITY_DN8336_c0_g1"
"308","TRINITY_DN19848_c0_g1"
"309","TRINITY_DN625_c0_g1"
"310","TRINITY_DN1800_c0_g1"
"311","TRINITY_DN3720_c0_g1"
"312","TRINITY_DN9952_c0_g1"
"313","TRINITY_DN28625_c0_g1"
"314","TRINITY_DN9869_c0_g1"
"315","TRINITY_DN11665_c0_g1"
"316","TRINITY_DN8652_c0_g1"
"317","TRINITY_DN3068_c0_g1"
"318","TRINITY_DN44984_c0_g1"
"319","TRINITY_DN30698_c0_g1"
"320","TRINITY_DN838_c0_g2"
"321","TRINITY_DN5987_c0_g1"
"322","TRINITY_DN1898_c0_g1"
"323","TRINITY_DN2113_c0_g1"
"324","TRINITY_DN6922_c0_g1"
"325","TRINITY_DN1444_c0_g1"
"326","TRINITY_DN7274_c0_g1"
"327","TRINITY_DN2790_c0_g1"
"328","TRINITY_DN14468_c0_g1"
"329","TRINITY_DN2134_c0_g1"
"330","TRINITY_DN3075_c1_g1"
"331","TRINITY_DN3963_c0_g1"
"332","TRINITY_DN1441_c0_g1"
"333","TRINITY_DN6373_c0_g1"
"334","TRINITY_DN15244_c0_g1"
"335","TRINITY_DN8415_c0_g1"
"336","TRINITY_DN2668_c0_g1"
"337","TRINITY_DN3003_c0_g1"
"338","TRINITY_DN1880_c0_g1"
"339","TRINITY_DN7401_c2_g1"
"340","TRINITY_DN1770_c0_g1"
"341","TRINITY_DN12463_c0_g1"
"342","TRINITY_DN4848_c0_g1"
"343","TRINITY_DN545_c0_g1"
"344","TRINITY_DN11630_c0_g2"
"345","TRINITY_DN3287_c0_g1"
"346","TRINITY_DN13644_c0_g1"
"347","TRINITY_DN62046_c0_g1"
"348","TRINITY_DN455_c0_g1"
"349","TRINITY_DN8000_c0_g1"
"350","TRINITY_DN20494_c0_g1"
"351","TRINITY_DN3652_c0_g1"
"352","TRINITY_DN994_c0_g1"
"353","TRINITY_DN19711_c0_g1"
"354","TRINITY_DN10111_c0_g1"
"355","TRINITY_DN1157_c0_g1"
"356","TRINITY_DN9226_c0_g1"
"357","TRINITY_DN8860_c0_g1"
