"","redGeneNames"
"203","TRINITY_DN1835_c0_g1"
"204","TRINITY_DN12537_c0_g1"
"205","TRINITY_DN9224_c0_g1"
"206","TRINITY_DN538_c0_g1"
"207","TRINITY_DN4154_c0_g1"
"208","TRINITY_DN26630_c0_g1"
"209","TRINITY_DN43_c0_g1"
"210","TRINITY_DN14460_c0_g1"
"211","TRINITY_DN4_c0_g1"
"212","TRINITY_DN1631_c0_g1"
"213","TRINITY_DN16641_c0_g1"
"214","TRINITY_DN4692_c0_g1"
"215","TRINITY_DN6588_c0_g2"
"216","TRINITY_DN4616_c0_g1"
"217","TRINITY_DN7096_c1_g1"
"218","TRINITY_DN2970_c0_g1"
"219","TRINITY_DN7325_c3_g1"
"220","TRINITY_DN2011_c0_g1"
"221","TRINITY_DN10710_c0_g1"
"222","TRINITY_DN7237_c1_g1"
"223","TRINITY_DN15882_c0_g1"
"224","TRINITY_DN5176_c0_g1"
"225","TRINITY_DN1415_c0_g1"
"226","TRINITY_DN22964_c0_g1"
"227","TRINITY_DN7757_c1_g1"
"228","TRINITY_DN1345_c0_g1"
"229","TRINITY_DN426_c2_g1"
"230","TRINITY_DN1837_c0_g1"
"231","TRINITY_DN6489_c0_g1"
"232","TRINITY_DN8539_c0_g1"
"233","TRINITY_DN16106_c0_g2"
"234","TRINITY_DN10219_c0_g1"
"235","TRINITY_DN4562_c0_g1"
"236","TRINITY_DN4554_c0_g1"
"237","TRINITY_DN2910_c2_g2"
"238","TRINITY_DN2179_c0_g2"
"239","TRINITY_DN4255_c0_g1"
"240","TRINITY_DN12208_c0_g1"
"241","TRINITY_DN3010_c1_g1"
"242","TRINITY_DN26802_c0_g1"
"243","TRINITY_DN10268_c0_g1"
"244","TRINITY_DN4203_c0_g1"
"245","TRINITY_DN2521_c0_g1"
"246","TRINITY_DN12631_c0_g1"
"247","TRINITY_DN3330_c0_g1"
"248","TRINITY_DN12766_c0_g1"
"249","TRINITY_DN7562_c0_g1"
"250","TRINITY_DN713_c0_g1"
"251","TRINITY_DN6154_c0_g2"
"252","TRINITY_DN22168_c0_g1"
"253","TRINITY_DN9415_c0_g1"
"254","TRINITY_DN4793_c0_g1"
"255","TRINITY_DN7968_c0_g1"
"256","TRINITY_DN5220_c0_g1"
"257","TRINITY_DN3597_c1_g1"
"258","TRINITY_DN137_c0_g1"
"259","TRINITY_DN8778_c0_g1"
