29_4cell_rep_1	29_4cell_rep_2	29_4cell_rep_3	29_blast_rep_1	29_blast_rep_2	29_blast_rep_3	29_gast_rep_1	29_gast_rep_2	29_gast_rep_3	29_larv_rep_1	29_larv_rep_2	29_larv_rep_3	33_4cell_rep_1	33_4cell_rep_2	33_4cell_rep_3	33_blast_rep_1	33_blast_rep_2	33_blast_rep_3	33_gast_rep_1	33_gast_rep_2	33_gast_rep_3	33_larv_rep_1	33_larv_rep_2	33_larv_rep_3	eggs_rep_1	eggs_rep_2	eggs_rep_3
TRINITY_DN10007_c0_g1	8.60874175331839	8.96947968969213	8.26515969621064	7.81192573533883	7.8073828355284	8.01189186715459	7.8773790277628	7.9564133574344	7.90672159602757	7.78647100280137	8.03901601002231	7.93619922158875	8.51355872883319	8.95969388895218	8.50813062235944	7.86338951499547	7.98155951514093	8.048000004821	7.78895249675139	8.02176130138317	7.88897281190635	7.89087870271213	8.0184154365427	8.0176641436042	8.39282105074392	8.17143060071562	8.57941339279122
TRINITY_DN10008_c0_g1	9.54320246107799	8.7718736702516	9.25878920232001	11.8669059741473	12.1199096585932	11.964468739879	11.2768402554267	11.3681597489628	11.3459856118114	10.2382503366265	10.4537795553586	10.3167339938076	9.58208249360539	8.75012286332152	8.90607070532477	11.7093882829072	11.8327424806886	11.152004734426	10.9105358017727	11.2239699610434	11.1975047006422	10.2938448456908	10.5310581924255	10.3386513607034	9.55517549743771	8.88089891960624	8.91907115645545
TRINITY_DN1000_c1_g1	9.41870500267612	9.39037448789727	9.91436868712846	9.06078134927756	9.12065957720972	9.33160120170721	9.2254417446133	9.57101862951615	9.1888111204733	9.50361820360985	9.41645224486634	9.09703649937873	9.5015162212929	9.33147442570593	9.6823605838723	9.15046924522031	9.44750869273072	9.48502631344416	9.44386284319797	9.65751990143244	9.35682969104394	9.26252899616531	9.35691316630873	8.98493901231479	9.56932557648876	9.65811796029476	10.0991707079596
TRINITY_DN100106_c0_g1	6.84192796556659	6.72801093974487	6.72801093974487	6.72801093974487	6.87938168679701	6.72801093974487	6.93765118016475	7.19156071248252	7.16677960337341	7.11694166328728	7.03208850209331	6.92291555455364	6.72801093974487	6.72801093974487	6.72801093974487	6.87105217247282	7.04511785106711	6.86713701173378	7.17668440830614	7.17395538007272	7.16097443414874	7.03525781632733	7.27110810496973	7.19630178592006	6.72801093974487	6.86444519060676	6.72801093974487
TRINITY_DN100107_c0_g1	6.72801093974487	6.72801093974487	6.95112636530432	7.11503186536342	6.87965064864092	7.32159714839726	7.47743299507874	6.86857196296757	8.02452792945704	7.60286591791164	6.94360689990331	8.06169163446929	6.72801093974487	6.85485309306392	6.86470293264584	7.36395692953542	6.8870928477355	7.26493756589924	7.39479629239127	6.9866166630366	8.01924712429542	7.42770458764539	7.03337553735274	7.789443087895	6.72801093974487	6.86468918650528	6.72801093974487
TRINITY_DN10010_c0_g1	7.24869207149152	8.39617912806705	8.62223916505578	9.17211159379372	8.95712555931872	9.32920478429724	10.0897206639127	9.74063319612702	9.90292348001371	10.1626911823863	10.0516952240573	10.050292529954	7.25284547727762	8.45821884946872	8.48818443663867	9.08055872235903	9.33751407087285	9.14224016427819	10.1629496257323	9.98733595667522	10.0404282851952	10.2544233607403	9.85270547888364	10.0682232635935	7.34745695886774	8.52524787360622	8.54698666637863
TRINITY_DN10014_c0_g1	9.6544997716954	8.88453792910004	9.19085367428647	8.9562021010061	8.76467820027281	8.77201586473413	9.01701128858977	8.94128560722684	9.02971615558753	9.12024849705147	9.11318638478312	9.1824299813079	9.57661996972167	8.87534731220504	9.0744869553719	8.84549634046539	8.74352892801806	8.80270835224376	9.12920750506159	9.21489017493933	9.21941720593032	9.15601385942735	9.00187888337309	9.24147135975116	9.17431799528191	8.32607194266842	8.51645653521521
TRINITY_DN100184_c0_g1	6.72801093974487	6.72801093974487	6.83964073654376	7.25069608392776	6.99039154805568	7.6070928480426	6.98508289699287	6.92669601472793	7.59720109025029	7.00390633614863	7.03259699490531	7.66843300779707	6.72801093974487	6.72801093974487	6.72801093974487	7.13211961685465	6.95285004925343	7.71408330813871	7.0635882799677	6.72801093974487	7.70206482919779	7.07193321194357	7.00121199480655	7.77449671624615	6.72801093974487	6.72801093974487	6.98711614030821
TRINITY_DN100187_c0_g1	6.72801093974487	6.72801093974487	7.06053933305559	7.00066431762996	7.0293195118432	7.09585517395405	6.87581413745189	6.72801093974487	6.9712240605773	6.88665023915274	6.99058312606641	7.0907339971236	6.90275960876779	6.72801093974487	6.9202624850166	6.87056636254597	6.95169074404437	7.22561833421366	6.72801093974487	6.87668127091155	7.03371286081668	6.94474109858588	7.03182079267536	7.13776402106992	6.92913370624967	6.72801093974487	6.72801093974487
TRINITY_DN100206_c0_g1	6.84212928863468	6.84865547586196	6.72801093974487	6.72801093974487	6.72801093974487	6.72801093974487	6.72801093974487	6.72801093974487	6.72801093974487	7.00393016904153	7.29528568051759	7.29404665372617	6.72801093974487	6.72801093974487	6.72801093974487	6.72801093974487	6.72801093974487	6.72801093974487	6.98820401718253	6.72801093974487	6.86562764505107	7.54726689546115	7.33537711046222	7.75948591085949	6.72801093974487	6.92122830920828	6.87740442863521
TRINITY_DN10020_c0_g1	10.6539375058737	10.3798938184822	10.2876449475338	10.5575746763818	10.2818763686622	10.5837774465142	10.5246882933121	10.6023181215001	10.6760838942398	10.4865004373863	10.5543409290197	10.4591640052276	10.4993510768844	10.4461994506951	10.3876111422816	10.5285922630354	10.6594674520877	10.4286050297737	10.4155539267642	10.5777864054	10.4083890062841	10.6973979323602	10.8704995927178	10.6861916010927	10.512660080045	9.8667028212328	10.0655416402457
TRINITY_DN100225_c0_g1	7.00617180181556	7.10716759686373	7.06104997947111	6.88582628635244	6.72801093974487	6.96138520680884	6.72801093974487	6.86806334822709	6.90035219414196	6.72801093974487	6.72801093974487	7.00293005494825	7.00448570641724	7.10618681475312	7.08756311086331	6.87078531094324	6.88650235570762	7.00541184008405	6.72801093974487	6.93849051328702	6.96534117240752	7.03469170486061	6.86428605506038	7.0463123331974	6.97462098732094	7.08751148488411	7.05583921060648
